kode_pegawai,jenis_kelamin,pendidikan,kelompok_pegawai,status_pegawai,golongan,sumber_data,aktif_sistem_baru,status_aktif,tahun,ada_data_tahun_ini,absensi_jumlah_hari,absensi_checkin_terisi,absensi_checkout_terisi,absensi_rata_jam_masuk,absensi_rata_durasi_jam,apel_jumlah_undangan,apel_hadir,apel_tidak_hadir,apel_persen_hadir,penugasan_jumlah,penugasan_kegiatan_unik,penugasan_terverifikasi,pelatihan_jumlah,pelatihan_bersertifikat,pelatihan_kumulatif_sd_tahun,pelatihan_tanpa_tahun,asesmen_integritas,asesmen_kerjasama,asesmen_komunikasi,asesmen_orientasi_hasil,asesmen_pelayanan_publik,asesmen_pengembangan_diri,asesmen_mengelola_perubahan,asesmen_pengambilan_keputusan,asesmen_perekat_bangsa,asesmen_total,asesmen_persen,asesmen_tersedia,skp_predikat,skp_sangat_baik,skp_jumlah_periode,skp_bulan_dinilai,skp_predikat_bervariasi,skp_tw1_predikat,skp_tw1_sangat_baik,skp_tw2_predikat,skp_tw2_sangat_baik,skp_jumlah_triwulan,skp_konsisten_sangat_baik,skp_jenis_penilaian,kelompok_usia
P008,Laki-laki,S3,Fungsional,PNS,IV/b,keduanya,1,Aktif,2026,1,141.0,141.0,132.0,7.11,9.44,18.0,3.0,15.0,16.67,5.0,5.0,,0.0,0.0,27.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,19.0,70.37,1.0,Sangat Baik,1.0,,,,Baik,0.0,Sangat Baik,1.0,2.0,0.0,Triwulan (terkini),50-59
P009,Laki-laki,S1/D4,PNS,Fungsional Umum,Penata Tk. I/IIId,sistem_lama,0,Tidak Terdaftar,2023,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P009,Laki-laki,S1/D4,PNS,Fungsional Umum,Penata Tk. I/IIId,sistem_lama,0,Tidak Terdaftar,2024,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P009,Laki-laki,S1/D4,PNS,Fungsional Umum,Penata Tk. I/IIId,sistem_lama,0,Tidak Terdaftar,2025,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,60+
P009,Laki-laki,S1/D4,PNS,Fungsional Umum,Penata Tk. I/IIId,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,60+
P010,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2023,1,,,,,,28.0,26.0,2.0,92.86,11.0,11.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P010,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2024,1,,,,,,43.0,34.0,9.0,79.07,11.0,11.0,11.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P010,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2025,1,51.0,50.0,43.0,6.86,10.4,34.0,18.0,16.0,52.94,9.0,9.0,9.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,1.0,4.0,0.0,,,,,,,Tahunan,40-49
P010,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2026,1,125.0,124.0,118.0,7.0,10.15,18.0,5.0,13.0,27.78,8.0,8.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),40-49
P011,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2023,1,,,,,,28.0,27.0,1.0,96.43,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,<30
P011,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2024,1,,,,,,43.0,40.0,3.0,93.02,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,<30
P011,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2025,1,57.0,56.0,52.0,6.88,10.2,34.0,31.0,3.0,91.18,3.0,3.0,3.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,1.0,4.0,0.0,,,,,,,Tahunan,<30
P011,Laki-laki,SMA/SMK,Pelaksana,PPPK,V,keduanya,1,Aktif,2026,1,142.0,141.0,135.0,7.1,9.68,18.0,17.0,1.0,94.44,2.0,2.0,,1.0,0.0,2.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),<30
P012,Laki-laki,SMA/SMK,Pelaksana,PNS,III/b,keduanya,1,Aktif,2023,1,,,,,,28.0,26.0,2.0,92.86,3.0,3.0,3.0,3.0,3.0,10.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,66.67,1.0,,,,,,,,,,,,,40-49
P012,Laki-laki,SMA/SMK,Pelaksana,PNS,III/b,keduanya,1,Aktif,2024,1,,,,,,43.0,39.0,4.0,90.7,9.0,9.0,9.0,3.0,3.0,13.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,66.67,1.0,Baik,0.0,2.0,12.0,0.0,,,,,,,Tahunan,40-49
P012,Laki-laki,SMA/SMK,Pelaksana,PNS,III/b,keduanya,1,Aktif,2025,1,197.0,196.0,187.0,7.12,9.14,34.0,30.0,4.0,88.24,3.0,3.0,3.0,2.0,2.0,15.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,66.67,1.0,Baik,0.0,1.0,11.0,0.0,,,,,,,Tahunan,40-49
P012,Laki-laki,SMA/SMK,Pelaksana,PNS,III/b,keduanya,1,Aktif,2026,1,133.0,132.0,129.0,7.03,9.16,18.0,18.0,0.0,100.0,6.0,6.0,,0.0,0.0,15.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,18.0,66.67,1.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),40-49
P013,Laki-laki,S1,Pelaksana,PNS,III/d,keduanya,1,Aktif,2023,1,,,,,,28.0,24.0,4.0,85.71,1.0,1.0,1.0,2.0,2.0,15.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,22.0,81.48,1.0,,,,,,,,,,,,,50-59
P013,Laki-laki,S1,Pelaksana,PNS,III/d,keduanya,1,Aktif,2024,1,,,,,,43.0,28.0,15.0,65.12,3.0,3.0,3.0,0.0,0.0,15.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,22.0,81.48,1.0,Baik,0.0,1.0,12.0,0.0,,,,,,,Tahunan,50-59
P013,Laki-laki,S1,Pelaksana,PNS,III/d,keduanya,1,Aktif,2025,1,210.0,186.0,164.0,8.04,8.93,34.0,21.0,13.0,61.76,1.0,1.0,0.0,0.0,0.0,15.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,22.0,81.48,1.0,Baik,0.0,1.0,11.0,0.0,,,,,,,Tahunan,50-59
P013,Laki-laki,S1,Pelaksana,PNS,III/d,keduanya,1,Aktif,2026,1,141.0,138.0,131.0,7.36,9.26,18.0,16.0,2.0,88.89,0.0,0.0,,0.0,0.0,15.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,2.0,3.0,22.0,81.48,1.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),50-59
P014,Perempuan,,Pelaksana,PNS,-,keduanya,1,Aktif,2023,1,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,16.0,16.0,76.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,14.0,51.85,1.0,,,,,,,,,,,,,
P014,Perempuan,,Pelaksana,PNS,-,keduanya,1,Aktif,2024,1,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,6.0,6.0,82.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,14.0,51.85,1.0,,,,,,,,,,,,,
P014,Perempuan,,Pelaksana,PNS,-,keduanya,1,Aktif,2025,1,80.0,79.0,66.0,6.87,10.14,18.0,12.0,6.0,66.67,15.0,15.0,15.0,7.0,7.0,89.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,14.0,51.85,1.0,Baik,0.0,1.0,6.0,0.0,,,,,,,Tahunan,
P014,Perempuan,,Pelaksana,PNS,-,keduanya,1,Aktif,2026,1,105.0,102.0,100.0,7.05,9.68,18.0,14.0,4.0,77.78,12.0,12.0,,1.0,1.0,90.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,14.0,51.85,1.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),
P015,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2023,1,,,,,,28.0,27.0,1.0,96.43,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P015,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2024,1,,,,,,43.0,40.0,3.0,93.02,8.0,8.0,8.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P015,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2025,1,0.0,0.0,0.0,,,34.0,33.0,1.0,97.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P015,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,40-49
P016,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2023,1,,,,,,28.0,16.0,12.0,57.14,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P016,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2024,1,,,,,,43.0,42.0,1.0,97.67,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P016,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2025,1,0.0,0.0,0.0,,,34.0,33.0,1.0,97.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P016,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,40-49
P017,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2023,1,,,,,,28.0,19.0,9.0,67.86,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P017,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2024,1,,,,,,43.0,42.0,1.0,97.67,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P017,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2025,1,0.0,0.0,0.0,,,34.0,33.0,1.0,97.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P017,Laki-laki,SMA/Sederajat,PPNPN,PPNPN,-,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,50-59
P018,Perempuan,D4,Fungsional,PNS,-,keduanya,1,Aktif,2023,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,14.0,51.85,1.0,,,,,,,,,,,,,<30
P018,Perempuan,D4,Fungsional,PNS,-,keduanya,1,Aktif,2024,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,14.0,51.85,1.0,,,,,,,,,,,,,<30
P018,Perempuan,D4,Fungsional,PNS,-,keduanya,1,Aktif,2025,1,126.0,125.0,115.0,7.25,9.27,22.0,20.0,2.0,90.91,3.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,14.0,51.85,1.0,Baik,0.0,1.0,7.0,0.0,,,,,,,Tahunan,<30
P018,Perempuan,D4,Fungsional,PNS,-,keduanya,1,Aktif,2026,1,135.0,134.0,133.0,7.3,8.92,18.0,18.0,0.0,100.0,5.0,5.0,,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,14.0,51.85,1.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),<30
P019,Laki-laki,SMA/SMK,Pelaksana,PPPK PW,,sistem_baru,1,Aktif,2023,1,,,,,,28.0,28.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P019,Laki-laki,SMA/SMK,Pelaksana,PPPK PW,,sistem_baru,1,Aktif,2024,1,,,,,,43.0,42.0,1.0,97.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,40-49
P019,Laki-laki,SMA/SMK,Pelaksana,PPPK PW,,sistem_baru,1,Aktif,2025,1,0.0,0.0,0.0,,,34.0,31.0,3.0,91.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,1.0,3.0,0.0,,,,,,,Tahunan,40-49
P019,Laki-laki,SMA/SMK,Pelaksana,PPPK PW,,sistem_baru,1,Aktif,2026,1,131.0,130.0,130.0,6.26,10.53,18.0,17.0,1.0,94.44,2.0,2.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,Baik,0.0,,,,Baik,0.0,Baik,0.0,2.0,0.0,Triwulan (terkini),40-49
P020,Laki-laki,SD,PNS,Pelaksana,Pengatur Muda/IIa,sistem_lama,0,Tidak Terdaftar,2023,1,,,,,,28.0,25.0,3.0,89.29,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P020,Laki-laki,SD,PNS,Pelaksana,Pengatur Muda/IIa,sistem_lama,0,Tidak Terdaftar,2024,1,,,,,,24.0,20.0,4.0,83.33,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P020,Laki-laki,SD,PNS,Pelaksana,Pengatur Muda/IIa,sistem_lama,0,Tidak Terdaftar,2025,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,50-59
P020,Laki-laki,SD,PNS,Pelaksana,Pengatur Muda/IIa,sistem_lama,0,Tidak Terdaftar,2026,0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,50-59
P021,Laki-laki,S2,PNS,Struktural,Pembina/IVa,sistem_lama,0,Tidak Terdaftar,2023,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,
P021,Laki-laki,S2,PNS,Struktural,Pembina/IVa,sistem_lama,0,Tidak Terdaftar,2024,0,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,
